ID Przepisu,Typ Zmiany,Stara Wartość,Nowa Wartość
114,Jednostka,Tbsps (pietruszka płaskolistna),łyżki
115,Jednostka,head (brokuł),główka
115,Jednostka,Tbsps (krem kokosowy),łyżki
115,Jednostka,servings (sól),porcje
115,Jednostka,servings (pietruszka),porcje
116,Jednostka,cloves (czosnek),ząbki
116,Jednostka,Tbsp (oliwa z oliwek),łyżka
116,Jednostka,servings (sól i mielony pieprz),porcje
117,Jednostka,Tbsp (brązowy cukier),łyżka
117,Jednostka,Tbsps (ożywić),łyżki
117,Jednostka,tsp (czosnek),łyżeczka
117,Jednostka,Tbsp (olej sezamowy),łyżka
117,Jednostka,Tbsps (sos sojowy),łyżki
118,Jednostka,sprigs (mennica),gałązki
118,Jednostka,tsp (nasiona czarnuszki),łyżeczka
119,Jednostka,Tbsps (koncentrat lemoniady),łyżki
119,Jednostka,Tbsp (cukier),łyżka
119,Jednostka,tsps (ekstrakt waniliowy),łyżeczki
120,Jednostka,Tbsp (ocet ryżowy),łyżka
120,Jednostka,slice (bagietka),plasterek
120,Jednostka,tsp (kminek),łyżeczka
120,Jednostka,tsps (sól),łyżeczki
121,Jednostka,Tbsps (kremowe masło orzechowe),łyżki
122,Jednostka,slice (chleb),plasterek
122,Jednostka,Tbsps (brązowy cukier),łyżki
122,Jednostka,tsp (cynamon),łyżeczka
122,Jednostka,servings (syrop klonowy),porcje
122,Jednostka,tsps (gałka muszkatołowa),łyżeczki
122,Jednostka,tsps (przyprawa do ciasta dyniowego),łyżeczki
122,Jednostka,tsps (wanilia),łyżeczki
123,Jednostka,cloves (czosnek),ząbki
123,Jednostka,tsps (odżywcze płatki drożdżowe),łyżeczki
123,Jednostka,Tbsp (sok z cytryny),łyżka
123,Jednostka,servings (sól),porcje
124,Jednostka,Tbsps (jogurt),łyżki
124,Jednostka,tsps (cukier),łyżeczki
124,Jednostka,tsps (proszek cynamonowy),łyżeczki
125,Jednostka,servings (płatki kolendry),porcje
125,Jednostka,Tbsp (guacamole),łyżka
125,Jednostka,servings (papryka),porcje
125,Jednostka,servings (smażona fasola),porcje
125,Jednostka,servings (meksykański ser mieszany),porcje
125,Jednostka,servings (krem),porcje
126,Jednostka,tsps (chili w proszku),łyżeczki
126,Jednostka,tsp (sos chili),łyżeczka
126,Jednostka,tsp (skrobia kukurydziana),łyżeczka
126,Jednostka,servings (liście curry),porcje
126,Jednostka,Tbsp (ożywić),łyżka
126,Jednostka,servings (olej),porcje
126,Jednostka,Tbsp (sos sojowy),łyżka
126,Jednostka,tsp (cukier),łyżeczka
126,Jednostka,Tbsp (sos pomidorowy),łyżka
127,Jednostka,tsp (papryka ostra),łyżeczka
127,Jednostka,tsp (kminek),łyżeczka
127,Jednostka,cloves (czosnek),ząbki
127,Jednostka,Tbsps (drożdże odżywcze),łyżki
127,Jednostka,servings (papryka),porcje
127,Jednostka,tsps (sól),łyżeczki
127,Jednostka,Tbsps (olej roślinny),łyżki
128,Jednostka,Tbsps (kolendra),łyżki
128,Jednostka,tsp (papryka),łyżeczka
128,Jednostka,tsp (kurkuma),łyżeczka
128,Jednostka,tsp (papryka ostra),łyżeczka
128,Jednostka,tsp (sól morska),łyżeczka
128,Jednostka,Tbsps (bułka tarta),łyżki
128,Jednostka,Tbsps (oliwa z oliwek),łyżki
129,Jednostka,Tbsps (oliwa z oliwek),łyżki
129,Jednostka,Tbsp (sok z cytryny),łyżka
129,Jednostka,cloves (czosnek),ząbki
129,Jednostka,Tbsp (szałwia),łyżka
129,Jednostka,tsps (pieprz),łyżeczki
129,Jednostka,tsp (sól),łyżeczka
130,Jednostka,Tbsps (oliwa z oliwek z pierwszego tłoczenia),łyżki
130,Jednostka,tsps (sól czosnkowa),łyżeczki
130,Jednostka,tsps (płatki chili z pieprzem),łyżeczki
131,Jednostka,servings (bagietka),porcje
131,Jednostka,bunch (bazylia),pęczek
131,Jednostka,servings (mielony pieprz),porcje
131,Jednostka,Tbsp (mleko),łyżka
132,Jednostka,Tbsp (ser feta),łyżka
132,Jednostka,serving (zielona cebula),porcja
132,Jednostka,serving (sól i pieprz),porcja
132,Jednostka,Tbsp (tzatziki),łyżka
133,Jednostka,Tbsps (oliwa z oliwek),łyżki
133,Jednostka,servings (sól i pieprz),porcje
133,Jednostka,Tbsps (masło),łyżki
134,Jednostka,Tbsps (fajny bicz),łyżki
134,Jednostka,tsp (cukier stołowy),łyżeczka
134,Jednostka,tsps (sok z cytryny),łyżeczki
135,Jednostka,tsp (liście mięty),łyżeczka
136,Jednostka,tsp (proszek cynamonowy),łyżeczka
136,Jednostka,tsps (nasiona kminku),łyżeczki
136,Jednostka,Tbsp (czosnek),łyżka
136,Jednostka,Tbsp (sok z cytryny lub),łyżka
136,Jednostka,tsp (nasiona gorczycy),łyżeczka
136,Jednostka,servings (sól),porcje
136,Jednostka,servings (cukier),porcje
136,Jednostka,Tbsp (olej słonecznikowy),łyżka
136,Jednostka,tsps (kurkuma),łyżeczki
137,Jednostka,Tbsps (pietruszka),łyżki
137,Jednostka,Tbsps (chrzan),łyżki
137,Jednostka,Tbsps (sok z cytryny),łyżki
137,Jednostka,Tbsps (oliwa z oliwek z pierwszego tłoczenia),łyżki
137,Jednostka,tsp (sól morska),łyżeczka
137,Jednostka,tsps (mielony pieprz),łyżeczki
138,Jednostka,servings (pieprz),porcje
138,Jednostka,Tbsp (brązowy cukier),łyżka
138,Jednostka,pinches (zioła),szczypty
138,Jednostka,clove (czosnek),ząbek
138,Jednostka,Tbsp (olej z pestek winogron),łyżka
138,Jednostka,Tbsps (sok z cytryny),łyżki
138,Jednostka,servings (czerwony ocet winny),porcje
138,Jednostka,tsps (sól),łyżeczki
139,Jednostka,Tbsp (ocet jabłkowy),łyżka
139,Jednostka,handfuls (pietruszka),garście
139,Jednostka,tsp (zioła prowansalskie),łyżeczka
139,Jednostka,Tbsp (oliwa z oliwek),łyżka
139,Jednostka,servings (sól morska),porcje
139,Jednostka,servings (nasiona sezamu do dekoracji),porcje
139,Jednostka,dash (sos sojowy),szczypta
139,Jednostka,servings (kolorowy kamień nazębny na podłożu warzywnym. także dotyk),porcje
139,Jednostka,servings (blender ręczny),porcje
139,Jednostka,servings (blender ręczny),porcje
140,Jednostka,Tbsps (mąka),łyżki
140,Jednostka,tsps (proszek czosnkowy),łyżeczki
140,Jednostka,tsps (sól),łyżeczki
140,Jednostka,tsps (mielony pieprz),łyżeczki
141,Jednostka,pkg (drożdże),opakowanie
141,Jednostka,Tbsps (mielone siemię lniane),łyżki
141,Jednostka,Tbsps (ziarno amarantusa),łyżki
141,Jednostka,Tbsps (niezbędny gluten pszenny),łyżki
141,Jednostka,tsps (sól),łyżeczki
142,Jednostka,cloves (czosnek),ząbki
142,Jednostka,Tbsps (sok z cytryny),łyżki
142,Jednostka,Tbsps (ocet ryżowy),łyżki
142,Jednostka,tsps (musztarda dijon),łyżeczki
142,Jednostka,servings (płatki czerwonej papryki),porcje
142,Jednostka,servings (sól i pieprz),porcje
143,Jednostka,Tbsps (brązowy cukier),łyżki
143,Jednostka,pinch (cayenne),szczypta
143,Jednostka,inch (ożywić),cm
143,Jednostka,clove (czosnek),ząbek
143,Jednostka,Tbsp (ocet ryżowy),łyżka
143,Jednostka,tsps (sól morska),łyżeczki
143,Jednostka,Tbsps (olej sezamowy),łyżki
143,Jednostka,servings (olej sezamowy),porcje
143,Jednostka,Tbsp (sos tamari),łyżka
143,Jednostka,tsp (kurkuma),łyżeczka
144,Jednostka,Tbsps (tahini),łyżki
144,Jednostka,servings (sól morska),porcje
144,Jednostka,servings (woda),porcje
145,Składnik,bok choy,kapusta pak choi
145,Jednostka,cloves (czosnek),ząbki
145,Jednostka,Tbsps (olej kokosowy),łyżki
145,Jednostka,pinch (sól),szczypta
145,Jednostka,pinch (pieprz),szczypta
145,Jednostka,pinch (płatki pieprzu),szczypta
145,Jednostka,Tbsps (migdały),łyżki
146,Jednostka,tsps (proszek czosnkowy),łyżeczki
146,Jednostka,tsps (sól),łyżeczki
146,Jednostka,tsps (pieprz),łyżeczki
146,Jednostka,tsp (przyprawa),łyżeczka
147,Jednostka,Tbsps (pietruszka),łyżki
147,Jednostka,Cloves (czosnek),ząbki
147,Jednostka,Tbsps (oliwa z oliwek),łyżki
148,Jednostka,clove (czosnek),ząbek
148,Jednostka,servings (oliwa z oliwek),porcje
148,Jednostka,servings (sól i pieprz),porcje
149,Jednostka,tsps (cayenne),łyżeczki
149,Jednostka,Tbsp (chili w proszku),łyżka
149,Jednostka,tsp (kminek),łyżeczka
149,Jednostka,tsp (tymianek),łyżeczka
149,Jednostka,bunch (kapusta włoska),pęczek
149,Jednostka,tsps (oregano),łyżeczki
149,Jednostka,tsp (mielony pieprz),łyżeczka
149,Jednostka,tsps (sól morska),łyżeczki
149,Jednostka,bunch (szpinak),pęczek
150,Jednostka,Tbsps (oliwa z oliwek),łyżki
150,Jednostka,tsps (sól i pieprz),łyżeczki
151,Jednostka,tsp (oliwa z oliwek),łyżeczka
151,Jednostka,clove (czosnek),ząbek
151,Jednostka,tsps (sól),łyżeczki
151,Jednostka,servings (papryka),porcje
152,Jednostka,Tbsps (oliwa z oliwek),łyżki
152,Jednostka,servings (sól i pieprz),porcje
153,Jednostka,bunch (pietruszka o płaskich liściach),pęczek
153,Jednostka,Tbsps (oliwa z oliwek),łyżki
153,Jednostka,serving (sól),porcja
154,Jednostka,tsp (nektar z agawy),łyżeczka
154,Jednostka,cloves (czosnek),ząbki
154,Jednostka,tsps (mielony sumak),łyżeczki
154,Jednostka,tsp (sól koszerna),łyżeczka
154,Jednostka,Tbsps (sok z cytryny),łyżki
154,Jednostka,Tbsps (oliwa z oliwek),łyżki
154,Jednostka,Tbsp (pietruszka),łyżka
154,Jednostka,servings (sól i pieprz),porcje
154,Jednostka,Tbsp (za'atar),łyżka
155,Jednostka,Tbsp (oliwa z oliwek),łyżka
155,Jednostka,servings (dwukrotną ilość wody),porcje
155,Jednostka,tsp (kurkuma),łyżeczka
155,Jednostka,servings (sól i pieprz),porcje
155,Jednostka,Tbsps (przecier pomidorowy),łyżki
155,Jednostka,tsp (cm imbiru),łyżeczka
155,Jednostka,tsp (cynamon),łyżeczka
155,Jednostka,tsp (garam masala),łyżeczka
155,Jednostka,tsp (papryka),łyżeczka
156,Jednostka,Tbsp (olej sezamowy),łyżka
156,Jednostka,tsp (ożywić),łyżeczka
156,Jednostka,Tbsp (czosnek),łyżka
156,Jednostka,Tbsp (sos sojowy),łyżka
156,Jednostka,servings (sól),porcje
156,Jednostka,servings (papryka),porcje
156,Jednostka,tsp (nasiona sezamu),łyżeczka
157,Jednostka,pinch (płatków chili),szczypta
157,Jednostka,cloves (czosnek),ząbki
157,Jednostka,servings (oliwa z oliwek),porcje
157,Jednostka,servings (sól),porcje
157,Jednostka,tsps (kurkuma w proszku),łyżeczki
158,Jednostka,Tbsps (oliwa z oliwek z pierwszego tłoczenia),łyżki
158,Jednostka,cloves (czosnek),ząbki
158,Jednostka,stalk (seler),łodyga
158,Jednostka,tsps (sól koszerna),łyżeczki
158,Jednostka,tsp (pieprz),łyżeczka
159,Jednostka,tsps (pieprz),łyżeczki
159,Jednostka,tsps (sok z cytryny),łyżeczki
159,Jednostka,tsp (liście rozmarynu),łyżeczka
159,Jednostka,servings (sól),porcje
160,Jednostka,can (pomidory z puszki),puszka
160,Jednostka,tsp (płatki chili),łyżeczka
160,Jednostka,pinches (cynamon),szczypty
160,Jednostka,cloves (czosnek),ząbki
160,Jednostka,bunch (kapusta włoska),pęczek
160,Jednostka,Tbsp (oliwa z oliwek),łyżka
160,Jednostka,Tbsp (rozmaryn),łyżka
160,Jednostka,servings (sól i pieprz),porcje
161,Jednostka,Tbsps (ocet jabłkowy),łyżki
161,Jednostka,servings (proszek cayenne),porcje
161,Jednostka,servings (proszek czosnkowy),porcje
161,Jednostka,servings (sól koszerna),porcje
161,Jednostka,Tbsps (oliwa z oliwek),łyżki
162,Jednostka,tsps (mennica),łyżeczki
162,Jednostka,servings (sól i pieprz),porcje
162,Jednostka,Tbsps (cukier),łyżki
162,Jednostka,Tbsps (jogurt),łyżki
163,Jednostka,Tbsps (oliwa z oliwek),łyżki
163,Jednostka,tsps (sól),łyżeczki
164,Jednostka,Tbsps (oliwa z oliwek),łyżki
164,Jednostka,Tbsps (czerwony ocet winny),łyżki
165,Jednostka,Tbsp (indyjskie curry w proszku),łyżka
165,Jednostka,servings (cytrynowy),porcje
165,Jednostka,tsp (papryka),łyżeczka
165,Jednostka,servings (pietruszka),porcje
165,Jednostka,servings (sól),porcje
166,Jednostka,tsp (bazylia),łyżeczka
166,Jednostka,tsps (nasiona kopru włoskiego),łyżeczki
167,Jednostka,tsps (skórka cytrynowa),łyżeczki
167,Jednostka,Tbsps (wyciśnięty sok z cytryny),łyżki
167,Jednostka,tsp (cukier),łyżeczka
167,Jednostka,tsps (musztarda dijon),łyżeczki
167,Jednostka,tsps (sól koszerna),łyżeczki
167,Jednostka,servings (pieprz),porcje
167,Jednostka,Tbsps (oliwa z oliwek),łyżki
167,Jednostka,Tbsps (rodzynki),łyżki
167,Jednostka,can (fasola garbanzo),puszka
168,Jednostka,bunch (zielona cebula),pęczek
168,Jednostka,can (paczka kukurydzy),puszka
168,Jednostka,cans (pomidory rotel i chili),puszki
168,Jednostka,bunch (kolendra),pęczek
168,Jednostka,Tbsps (czosnek),łyżki
168,Jednostka,tsps (gorący sos),łyżeczki
168,Jednostka,servings (sól i pieprz),porcje
169,Jednostka,Tbsp (oliwa z oliwek),łyżka
169,Jednostka,tsp (sumak w proszku),łyżeczka
169,Jednostka,handful (liście szałwii i mięty),garść
170,Jednostka,servings (makaron dyniowy),porcje
170,Jednostka,Tbsps (oliwa z oliwek),łyżki
170,Jednostka,cloves (czosnek),ząbki
170,Jednostka,pinch (sól morska),szczypta
170,Jednostka,servings (smażony koper włoski),porcje
170,Jednostka,Tbsp (oliwa z oliwek),łyżka
170,Jednostka,Tbsp (koperek),łyżka
171,Jednostka,Tbsp (proszek czosnkowy),łyżka
171,Jednostka,tsp (oliwa z oliwek),łyżeczka
172,Jednostka,tsps (chili w proszku),łyżeczki
172,Jednostka,Tbsp (oliwa z oliwek),łyżka
173,Jednostka,Tbsp (czosnek),łyżka
173,Jednostka,servings (mielony pieprz),porcje
174,Jednostka,servings (sól i pieprz),porcje
174,Jednostka,Tbsps (oliwa z oliwek z pierwszego tłoczenia),łyżki
174,Jednostka,Tbsps (ocet jabłkowy),łyżki
175,Jednostka,cloves (czosnek),ząbki
175,Jednostka,tsps (sól),łyżeczki
175,Jednostka,tsps (pieprz),łyżeczki
175,Jednostka,tsps (kurkuma),łyżeczki
175,Jednostka,tsps (curry),łyżeczki
176,Jednostka,tsp (kminek),łyżeczka
176,Jednostka,servings (pietruszka),porcje
176,Jednostka,Tbsp (sok z cytryny),łyżka
176,Jednostka,servings (oliwa z oliwek),porcje
176,Jednostka,servings (papryka),porcje
176,Jednostka,servings (sól),porcje
177,Jednostka,Tbsps (mąka),łyżki
177,Jednostka,cloves (czosnek),ząbki
177,Jednostka,Tbsps (sok z cytryny),łyżki
177,Jednostka,Tbsp (oliwa z oliwek),łyżka
177,Jednostka,Tbsps (parmezan),łyżki
177,Jednostka,servings (sól i pieprz),porcje
178,Jednostka,tsp (koperek),łyżeczka
178,Jednostka,Tbsp (oliwa z oliwek),łyżka
178,Jednostka,servings (papryka),porcje
178,Jednostka,servings (sól morska),porcje
179,Jednostka,handfuls (szpinak),garście
179,Jednostka,clove (czosnek),ząbek
179,Jednostka,Tbsp (sok z cytryny),łyżka
179,Jednostka,Tbsp (tahini),łyżka
179,Jednostka,Tbsp (oliwa z oliwek),łyżka
179,Jednostka,Tbsps (woda),łyżki
179,Jednostka,tsps (mielony kminek),łyżeczki
179,Jednostka,Tbsps (harissa),łyżki
180,Jednostka,tsps (papryka),łyżeczki
180,Jednostka,tsps (gruba sól morska),łyżeczki
180,Jednostka,tsps (mielony pieprz),łyżeczki
180,Jednostka,Tbsps (oliwa z oliwek),łyżki
181,Jednostka,Tbsp (nasiona sezamu),łyżka
181,Jednostka,Tbsp (stalówki kakaowe),łyżka
181,Jednostka,Tbsps (nasiona chia),łyżki
181,Jednostka,Tbsp (jagody goji),łyżka
181,Jednostka,tsps (proszek lucuma),łyżeczki
181,Jednostka,Tbsp (pestki dyni),łyżka
182,Jednostka,Tbsps (mleko beztłuszczowe),łyżki
182,Jednostka,serving (papryka),porcja
183,Jednostka,head (czosnek),główka
183,Jednostka,tsp (sól koszerna),łyżeczka
183,Jednostka,tsp (liście rozmarynu),łyżeczka
183,Jednostka,bunch (jarmuż dinozaura),pęczek
184,Jednostka,Tbsps (oliwa z oliwek),łyżki
184,Jednostka,cloves (czosnek),ząbki
184,Jednostka,tsps (sól),łyżeczki
184,Jednostka,bunch (pietruszka),pęczek
185,Jednostka,Tbsps (oliwa z oliwek),łyżki
185,Jednostka,cloves (czosnek),ząbki
185,Jednostka,pinch (sól),szczypta
185,Jednostka,sprig (bazylia),gałązka
185,Jednostka,Tbsps (pikantny sos orzechowy trader joe's),łyżki
186,Jednostka,tsp (ocet balsamiczny),łyżeczka
186,Jednostka,tsp (kminek),łyżeczka
186,Jednostka,clove (czosnek),ząbek
187,Jednostka,tsps (pieprz),łyżeczki
187,Jednostka,tsps (chili w proszku),łyżeczki
187,Jednostka,tsps (kminek),łyżeczki
187,Jednostka,Tbsps (kolendra),łyżki
187,Jednostka,servings (wierzchołki zielonej cebuli),porcje
187,Jednostka,servings (sól),porcje
187,Jednostka,tsps (pieprz),łyżeczki
188,Jednostka,cloves (czosnek),ząbki
188,Jednostka,Tbsps (oliwa z oliwek),łyżki
188,Jednostka,pinch (sól morska),szczypta
188,Jednostka,tsps (grunt),łyżeczki
189,Jednostka,Tbsps (zielona cebula),łyżki
189,Jednostka,Tbsp (szczypiorek),łyżka
189,Jednostka,Tbsp (kolendra),łyżka
189,Jednostka,Tbsp (tajska bazylia),łyżka
189,Jednostka,tsps (ożywić),łyżeczki
189,Jednostka,Tbsp (sok z limonki),łyżka
189,Jednostka,tsp (ocet ryżowy),łyżeczka
189,Jednostka,servings (sos habanero i chili),porcje
189,Jednostka,servings (sól i pieprz),porcje
189,Jednostka,servings (oliwa z oliwek do posmarowania),porcje
190,Jednostka,Tbsps (szczypiorek),łyżki
190,Jednostka,serving (sól i pieprz),porcja
191,Jednostka,tsps (curry w proszku),łyżeczki
191,Jednostka,tsps (garam masala),łyżeczki
191,Jednostka,tsps (mielona kolendra),łyżeczki
191,Jednostka,tsps (mielony kminek),łyżeczki
191,Jednostka,tsps (mielona musztarda w proszku),łyżeczki
191,Jednostka,tsps (oliwa z oliwek),łyżeczki
191,Jednostka,tsp (sól morska),łyżeczka
191,Jednostka,bunch (boćwina szwajcarska),pęczek
191,Jednostka,Tbsps (woda),łyżki
192,Jednostka,can (ciecierzyca),puszka
192,Jednostka,servings (kolendra),porcje
192,Jednostka,tsps (mielony cynamon),łyżeczki
192,Jednostka,tsps (mielony kminek),łyżeczki
192,Jednostka,tsps (mielona kurkuma),łyżeczki
192,Jednostka,Tbsp (sok z cytryny),łyżka
192,Jednostka,tsps (oliwa z oliwek),łyżeczki
192,Jednostka,tsps (papryka),łyżeczki
192,Jednostka,servings (sól i pieprz),porcje
192,Jednostka,Tbsps (pasta pomidorowa),łyżki
193,Jednostka,Tbsps (mennica),łyżki
193,Jednostka,Tbsp (miód),łyżka
193,Jednostka,Tbsps (sok z limonki),łyżki
193,Jednostka,tsps (skórka z limonki),łyżeczki
193,Jednostka,servings (papryka),porcje
193,Jednostka,servings (sól),porcje
193,Jednostka,Tbsp (krem),łyżka
194,Jednostka,bunch (kapusta włoska),pęczek
194,Jednostka,servings (płatki pieprzu),porcje
194,Jednostka,servings (sól i pieprz),porcje
195,Jednostka,tsp (pieprz),łyżeczka
195,Jednostka,tsps (cayenne),łyżeczki
195,Jednostka,tsps (cynamon),łyżeczki
195,Jednostka,tsps (mielony imbir),łyżeczki
195,Jednostka,tsps (mielona gałka muszkatołowa),łyżeczki
195,Jednostka,servings (oliwa z oliwek),porcje
195,Jednostka,servings (sól),porcje
195,Jednostka,tsps (kurkuma),łyżeczki
196,Jednostka,Tbsp (proszek czosnkowy),łyżka
196,Jednostka,tsp (sól selerowa),łyżeczka
196,Jednostka,Tbsp (sos worcestershire),łyżka
196,Jednostka,Tbsp (sól),łyżka
196,Jednostka,Tbsp (mielony pieprz),łyżka
196,Jednostka,Tbsp (przyprawa),łyżka
196,Jednostka,Tbsps (pietruszka),łyżki
197,Jednostka,Tbsps (konfitury wiśniowe),łyżki
198,Jednostka,servings (czarna fasola z garnka),porcje
198,Jednostka,cloves (czosnek),ząbki
198,Jednostka,Tbsp (kolendra),łyżka
198,Jednostka,tsps (kminek),łyżeczki
198,Jednostka,tsps (sól),łyżeczki
198,Jednostka,tsps (pieprz),łyżeczki
198,Jednostka,servings (frytki),porcje
199,Jednostka,Tbsps (oliwa z oliwek z pierwszego tłoczenia),łyżki
199,Jednostka,tsps (skórka cytrynowa),łyżeczki
199,Jednostka,tsp (sok z cytryny),łyżeczka
200,Jednostka,tsps (proszek do pieczenia),łyżeczki
200,Jednostka,tsps (sól),łyżeczki
200,Jednostka,tsp (mielony imbir),łyżeczka
200,Jednostka,tsps (cynamon),łyżeczki
200,Jednostka,tsps (gałka muszkatołowa),łyżeczki
201,Jednostka,Tbsp (pasta czosnkowa),łyżka
201,Jednostka,tsps (mielony kminek),łyżeczki
201,Jednostka,tsps (chili w proszku),łyżeczki
201,Jednostka,tsps (mielona kolendra),łyżeczki
201,Jednostka,tsps (mielona kurkuma),łyżeczki
201,Jednostka,tsps (garam masala),łyżeczki
201,Jednostka,tsps (mielony pieprz),łyżeczki
201,Jednostka,tsps (sól),łyżeczki
201,Jednostka,tsp (cukier kokosowy),łyżeczka
201,Jednostka,can (pomidory z puszki),puszka
201,Jednostka,cans (ciecierzyca),puszki
202,Jednostka,Tbsp (masło migdałowe),łyżka
202,Jednostka,Tbsp (sos jabłkowy),łyżka
202,Jednostka,Tbsp (granola zbożowa),łyżka
202,Jednostka,tsps (mielony cynamon),łyżeczki
202,Jednostka,tsp (miód),łyżeczka
202,Jednostka,servings (kostki lodu),porcje
202,Jednostka,tsp (syrop klonowy),łyżeczka
203,Jednostka,Tbsps (cukier),łyżki
204,Jednostka,handfuls (liście sałaty),garście
204,Jednostka,Tbsp (ożywić),łyżka
204,Jednostka,tsps (sok z cytryny),łyżeczki
204,Jednostka,Tbsps (oliwa z oliwek z pierwszego tłoczenia),łyżki
204,Jednostka,tsps (sól morska),łyżeczki
205,Jednostka,head (kalafior),główka
205,Jednostka,Tbsp (olej kokosowy),łyżka
205,Jednostka,servings (sól),porcje
206,Jednostka,Tbsps (proszek białka konopnego),łyżki
207,Składnik,asparagus,szparagi
207,Jednostka,bunch (asparagus),pęczek
207,Jednostka,Tbsp (olej kokosowy),łyżka
207,Jednostka,tsps (bazylia),łyżeczki
207,Jednostka,servings (papryka),porcje
207,Jednostka,servings (sól morska),porcje
208,Jednostka,Tbsp (kolendra),łyżka
208,Jednostka,Tbsps (majonez na bazie oliwy z oliwek),łyżki
208,Jednostka,tsps (sól),łyżeczki
208,Jednostka,tsps (pieprz),łyżeczki
208,Jednostka,tsp (sok z cytryny),łyżeczka
209,Jednostka,tsps (sól przyprawowa),łyżeczki
209,Jednostka,tsp (proszek czosnkowy),łyżeczka
209,Jednostka,tsp (proszek cebulowy),łyżeczka
209,Jednostka,servings (pieprz),porcje
210,Jednostka,tsps (proszek do pieczenia),łyżeczki
210,Jednostka,Tbsps (sos karmelowy),łyżki
210,Jednostka,tsp (cynamon),łyżeczka
210,Jednostka,Tbsps (mąka kokosowa),łyżki
210,Jednostka,pinch (sól),szczypta
211,Jednostka,pkg (pico de gallo),opakowanie
211,Jednostka,tsps (sól czosnkowa),łyżeczki
211,Jednostka,servings (sól i pieprz),porcje
211,Jednostka,servings (kolendra),porcje
212,Jednostka,can (fasola garbanzo),puszka
212,Jednostka,tsp (kminek),łyżeczka
212,Jednostka,tsp (papryka),łyżeczka
212,Jednostka,tsp (sól),łyżeczka
213,Jednostka,Tbsps (krem kokosowy),łyżki
213,Jednostka,Tbsps (pietruszka),łyżki
213,Jednostka,tsp (sok z cytryny),łyżeczka
213,Jednostka,tsps (sól),łyżeczki
213,Jednostka,Dash (pieprz),szczypta
214,Jednostka,tsps (pieprz),łyżeczki
214,Jednostka,bunch (tymianek),pęczek
214,Jednostka,cloves (czosnek),ząbki
214,Jednostka,Tbsps (oliwa z oliwek),łyżki
214,Jednostka,tsps (sól morska),łyżeczki
215,Jednostka,servings (ananas),porcje
215,Jednostka,servings (wiśnie maraschino),porcje
216,Jednostka,servings (płatki kokosowe),porcje
217,Jednostka,servings (olej do smażenia),porcje
217,Jednostka,tsps (mielony pieprz cayenne),łyżeczki
217,Jednostka,servings (syrop klonowy),porcje
217,Jednostka,tsps (gałka muszkatołowa),łyżeczki
217,Jednostka,pinch (sól),szczypta
217,Jednostka,Tbsp (cukier),łyżka
217,Jednostka,tsp (ekstrakt waniliowy),łyżeczka
218,Jednostka,tsp (koperek),łyżeczka
218,Jednostka,Tbsp (oliwa z oliwek),łyżka
218,Jednostka,servings (sól i pieprz),porcje
218,Jednostka,Tbsp (cukier),łyżka
219,Jednostka,Tbsp (miód),łyżka
220,Jednostka,Tbsp (masło),łyżka
220,Jednostka,clove (czosnek),ząbek
220,Jednostka,Tbsp (ożywić),łyżka
220,Jednostka,Tbsps (olej sezamowy),łyżki
220,Jednostka,servings (sos sojowy),porcje
220,Jednostka,dash (cukier),szczypta
221,Jednostka,Tbsps (oliwa z oliwek),łyżki
221,Jednostka,tsps (sól),łyżeczki
221,Jednostka,tsps (kurkuma),łyżeczki
222,Jednostka,Tbsps (oliwa z oliwek),łyżki
222,Jednostka,Tbsps (ocet balsamiczny),łyżki
222,Jednostka,Tbsps (sok pomarańczowy),łyżki
222,Jednostka,tsp (cukier granulowany),łyżeczka
222,Jednostka,tsp (sól),łyżeczka
224,Jednostka,tsps (tymianek),łyżeczki
224,Jednostka,tsps (sól),łyżeczki
224,Jednostka,servings (mielony pieprz),porcje
224,Jednostka,servings (oliwa z oliwek),porcje
224,Jednostka,servings (pietruszka do dekoracji),porcje
225,Jednostka,Tbsp (masło),łyżka
225,Jednostka,servings (sól i pieprz),porcje
226,Jednostka,servings (sól koszerna),porcje
227,Jednostka,tsps (musztarda dijon),łyżeczki
227,Jednostka,Tbsp (nasiona chia),łyżka
227,Jednostka,tsp (miód),łyżeczka
227,Jednostka,tsps (sól morska maldon),łyżeczki
227,Jednostka,tsps (pieprz),łyżeczki
228,Jednostka,clove (czosnek),ząbek
228,Jednostka,servings (sól),porcje
229,Składnik,asparagus,szparagi
229,Jednostka,Handful (płaska pietruszka),garść
230,Jednostka,servings (pieprz),porcje
230,Jednostka,Tbsp (mąka),łyżka
230,Jednostka,Tbsp (musztarda w proszku),łyżka
230,Jednostka,tsps (papryka),łyżeczki
231,Jednostka,tsps (proszek kardamonu),łyżeczki
231,Jednostka,serving (orzechy),porcja
232,Jednostka,tsps (estragon),łyżeczki
232,Jednostka,tsps (pieprz),łyżeczki
232,Jednostka,servings (sól roślinna),porcje
233,Jednostka,tsp (bazylia),łyżeczka
233,Jednostka,cloves (czosnek),ząbki
233,Jednostka,Tbsp (ketchup),łyżka
233,Jednostka,Tbsps (oliwa z oliwek),łyżki
233,Jednostka,tsp (oregano),łyżeczka
233,Jednostka,tsp (pieprz),łyżeczka
233,Jednostka,pinch (sól),szczypta
234,Jednostka,Tbsp (winegret balsamiczny),łyżka
234,Jednostka,tsp (przyprawa),łyżeczka
